iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(5, 5)",None,None,"[((5, 4), 'South', 1), ((4, 5), 'West', 1)]","['(5, 5)']","['(5, 4)', '(4, 5)']","[(5, 5)]",0,0,0
2,"(5, 4)","(5, 5)",South,"[((5, 3), 'South', 1)]","['(5, 4)', '(4, 5)']","['(5, 3)', '(4, 5)']","[(5, 4), (5, 5)]",1,0,1
3,"(5, 3)","(5, 4)",South,"[((4, 3), 'West', 1)]","['(5, 3)', '(4, 5)']","['(4, 3)', '(4, 5)']","[(5, 3), (5, 4), (5, 5)]",2,0,2
4,"(4, 3)","(5, 3)",West,"[((4, 2), 'South', 1)]","['(4, 3)', '(4, 5)']","['(4, 2)', '(4, 5)']","[(5, 3), (5, 4), (5, 5), (4, 3)]",3,0,3
5,"(4, 2)","(4, 3)",South,"[((3, 2), 'West', 1)]","['(4, 2)', '(4, 5)']","['(3, 2)', '(4, 5)']","[(5, 5), (4, 3), (5, 4), (4, 2), (5, 3)]",4,0,4
6,"(3, 2)","(4, 2)",West,"[((2, 2), 'West', 1)]","['(3, 2)', '(4, 5)']","['(2, 2)', '(4, 5)']","[(5, 5), (4, 3), (5, 4), (4, 2), (5, 3), (3, 2)]",5,0,5
7,"(2, 2)","(3, 2)",West,"[((2, 3), 'North', 1), ((2, 1), 'South', 1)]","['(2, 2)', '(4, 5)']","['(2, 3)', '(2, 1)', '(4, 5)']","[(5, 5), (4, 3), (5, 4), (4, 2), (2, 2), (5, 3), (3, 2)]",6,0,6
8,"(2, 3)","(2, 2)",North,"[((1, 3), 'West', 1)]","['(2, 3)', '(2, 1)', '(4, 5)']","['(1, 3)', '(2, 1)', '(4, 5)']","[(5, 5), (4, 3), (5, 4), (4, 2), (2, 3), (2, 2), (5, 3), (3, 2)]",7,0,7
9,"(1, 3)","(2, 3)",West,"[((1, 4), 'North', 1)]","['(1, 3)', '(2, 1)', '(4, 5)']","['(1, 4)', '(2, 1)', '(4, 5)']","[(5, 5), (4, 3), (5, 4), (4, 2), (2, 3), (2, 2), (5, 3), (3, 2), (1, 3)]",8,0,8
10,"(1, 4)","(1, 3)",North,"[((1, 5), 'North', 1)]","['(1, 4)', '(2, 1)', '(4, 5)']","['(1, 5)', '(2, 1)', '(4, 5)']","[(5, 5), (4, 3), (5, 4), (4, 2), (1, 4), (2, 3), (2, 2), (5, 3), (3, 2), (1, 3)]",9,0,9
11,"(1, 5)","(1, 4)",North,"[((2, 5), 'East', 1)]","['(1, 5)', '(2, 1)', '(4, 5)']","['(2, 5)', '(2, 1)', '(4, 5)']","[(5, 5), (4, 3), (1, 5), (5, 4), (4, 2), (1, 4), (2, 3), (2, 2), (5, 3), (3, 2), (1, 3)]",10,0,10
12,"(2, 5)","(1, 5)",East,"[((3, 5), 'East', 1)]","['(2, 5)', '(2, 1)', '(4, 5)']","['(3, 5)', '(2, 1)', '(4, 5)']","[(5, 5), (4, 3), (1, 5), (5, 4), (4, 2), (1, 4), (2, 3), (2, 2), (5, 3), (3, 2), (2, 5), (1, 3)]",11,0,11
13,"(3, 5)","(2, 5)",East,"[((4, 5), 'East', 1)]","['(3, 5)', '(2, 1)', '(4, 5)']","['(4, 5)', '(2, 1)', '(4, 5)']","[(5, 5), (4, 3), (1, 5), (5, 4), (4, 2), (1, 4), (2, 3), (2, 2), (5, 3), (3, 2), (2, 5), (1, 3), (3, 5)]",12,0,12
14,"(4, 5)","(3, 5)",East,[],"['(4, 5)', '(2, 1)', '(4, 5)']","['(2, 1)', '(4, 5)']","[(5, 5), (4, 3), (1, 5), (5, 4), (4, 2), (1, 4), (2, 3), (4, 5), (2, 2), (5, 3), (3, 2), (2, 5), (1, 3), (3, 5)]",13,0,13
15,"(2, 1)","(2, 2)",South,"[((1, 1), 'West', 1)]","['(2, 1)', '(4, 5)']","['(1, 1)', '(4, 5)']","[(5, 5), (2, 1), (4, 3), (1, 5), (5, 4), (4, 2), (1, 4), (2, 3), (4, 5), (2, 2), (5, 3), (3, 2), (2, 5), (1, 3), (3, 5)]",7,0,7
16,"(1, 1)","(2, 1)",West,[],"['(1, 1)', '(4, 5)']","['(4, 5)']","[(5, 5), (2, 1), (4, 3), (1, 5), (5, 4), (1, 1), (4, 2), (1, 4), (2, 3), (4, 5), (2, 2), (5, 3), (3, 2), (2, 5), (1, 3), (3, 5)]",8,0,8
